name	state_id	postcode	latitude	longitude	variant_name	status
REDLYNCH	QLD		-1.6924444200000000e+01	1.4569444270000000e+02		O
PORTSMITH	QLD		-1.6944999700000000e+01	1.4576666259999999e+02		O
PARRAMATTA PARK	QLD		-1.6924444200000000e+01	1.4576249690000000e+02		O
PALM COVE	QLD		-1.6746944429999999e+01	1.4566583249999999e+02		O
MOUNT SHERIDAN	QLD		-1.6983888629999999e+01	1.4572888180000001e+02		O
MOOROOBOOL	QLD		-1.6936109540000000e+01	1.4572972110000001e+02		O
MANUNDA	QLD		-1.6919166570000002e+01	1.4574833680000000e+02		O
MANOORA	QLD		-1.6918609620000002e+01	1.4573583980000001e+02		O
MACHANS BEACH	QLD		-1.6855556490000001e+01	1.4574778749999999e+02		O
KEWARRA BEACH	QLD		-1.6787500380000001e+01	1.4567639159999999e+02		O
KANIMBLA	QLD		-1.6921943670000001e+01	1.4572082520000001e+02		O
KAMERUNGA	QLD		-1.6880556110000001e+01	1.4568638609999999e+02		O
HOLLOWAYS BEACH	QLD		-1.6838333129999999e+01	1.4573193359999999e+02		O
FRESHWATER	QLD		-1.6885555270000001e+01	1.4571083070000000e+02		O
EDMONTON	QLD		-1.7021944049999998e+01	1.4574667360000001e+02		O
EDGE HILL	QLD		-1.6901943209999999e+01	1.4574305730000000e+02		O
EARLVILLE	QLD		-1.6947776789999999e+01	1.4573110960000000e+02		O
CLIFTON BEACH	QLD		-1.6771944049999998e+01	1.4566833500000001e+02		O
CARAVONICA	QLD		-1.6861944200000000e+01	1.4568278500000000e+02		O
CAIRNS NORTH	QLD		-1.6909999849999998e+01	1.4576167300000000e+02		O
CAIRNS CITY	QLD		-1.6923332210000002e+01	1.4577333070000000e+02		O
BUNGALOW	QLD		-1.6938331600000001e+01	1.4575555420000001e+02		O
BRINSMEAD	QLD		-1.6901388170000001e+01	1.4571472170000001e+02		O
BENTLEY PARK	QLD		-1.7010833739999999e+01	1.4572305299999999e+02		O
BAYVIEW HEIGHTS	QLD		-1.6964445110000000e+01	1.4572471619999999e+02		O
BARRON	QLD		-1.6865556720000001e+01	1.4570999150000000e+02		O
AEROGLEN	QLD		-1.6876111980000001e+01	1.4575971980000000e+02		O
WYNNUM	QLD		-2.7435832980000001e+01	1.5316917419999999e+02		O
MANLY	QLD		-2.7452501300000002e+01	1.5318722529999999e+02		O
WOORIM	QLD		-2.7055831909999998e+01	1.5317805480000001e+02		O
WOODY POINT	QLD		-2.7254444119999999e+01	1.5310166930000000e+02		O
SCARBOROUGH	QLD		-2.7204999919999999e+01	1.5311029049999999e+02		O
CLONTARF (MORETON BAY REGIONAL COUNCIL)	QLD		-2.7246389390000001e+01	1.5308277889999999e+02		O
BONGAREE	QLD		-2.7081390379999998e+01	1.5316360470000001e+02		O
BELLARA	QLD		-2.7059444429999999e+01	1.5314833070000000e+02		O
BANKSIA BEACH	QLD		-2.7041944500000000e+01	1.5313888549999999e+02		O
WHITESIDE	QLD		-2.7246667859999999e+01	1.5292111209999999e+02		O
WARNER	QLD		-2.7313055039999998e+01	1.5294972229999999e+02		O
STRATHPINE	QLD		-2.7301942830000002e+01	1.5298889159999999e+02		O
ROTHWELL	QLD		-2.7214445110000000e+01	1.5305278020000000e+02		O
