region_id,Median_age_persons,Median_mortgage_repay_monthly,Median_Tot_prsnl_inc_weekly,Median_rent_weekly_,Median_Tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_Tot_hhd_inc_weekly,Average_household_size
UCL422038,38,910,442,66,875,1.1,776,2.4
UCL422039,50,2463,506,233,1011,1.0,860,2.0
UCL422040,57,2123,402,190,943,1.0,763,2.1
UCL422041,52,1213,341,120,792,1.1,690,2.0
UCL422042,54,900,368,135,743,1.1,646,2.2
UCL422043,61,2000,367,150,804,1.0,696,2.0
UCL422044,48,871,374,145,745,1.0,606,2.2
UCL422045,48,498,364,130,850,1.1,605,2.2
UCL422046,47,1517,489,125,1636,1.1,956,2.2
UCL422047,50,800,379,113,880,1.1,677,2.2
UCL422048,42,1062,493,225,1100,1.0,918,2.3
UCL422049,54,969,378,155,772,1.1,637,1.8
UCL422050,42,867,472,184,1149,1.1,855,2.4
UCL422051,42,758,350,125,845,1.1,761,2.4
UCL422052,40,650,521,110,1111,1.0,984,2.2
UCL422053,34,1083,533,150,1305,1.1,1125,2.8
UCL422054,51,575,339,93,756,1.1,540,2.0
UCL422055,39,1408,512,232,1103,1.1,978,2.5
UCL422056,38,2058,440,280,1117,1.1,1047,3.1
UCL422057,43,950,465,138,1010,1.1,955,2.3
UCL422058,53,687,419,130,900,1.0,636,2.0
UCL422059,35,0,860,150,1549,1.0,1292,2.0
UCL422060,25,1454,613,253,1633,1.0,1187,3.1
UCL422061,27,0,374,20,1375,1.5,1416,4.1
UCL431777,43,1300,529,110,1273,1.1,1071,2.6
UCL479997,36,0,966,0,0,0,0,0
UCL499994,39,0,368,0,0,0,0,0
UCL501001,36,2000,667,320,1778,1.1,1449,2.6
UCL511001,36,1837,622,270,1662,1.0,1382,2.6
UCL512001,40,1517,515,240,1241,1.1,974,2.4
UCL512002,40,1800,522,265,1247,1.0,980,2.5
UCL512003,30,2338,790,370,1895,1.0,1789,3.0
UCL512004,36,1690,595,230,1466,1.1,1201,2.6
UCL512005,31,1950,897,260,2287,1.1,1972,2.7
UCL513001,28,2356,883,370,2081,1.0,2001,3.1
UCL513002,33,2600,862,220,2012,1.2,1716,2.7
UCL513003,32,3094,1543,131,2981,1.1,2870,2.9
UCL513004,30,2503,1368,120,2946,1.2,2818,2.8
UCL514001,39,1500,489,200,1602,1.1,1211,2.4
UCL514002,38,1517,575,200,1391,1.1,1105,2.5
UCL514003,34,1796,628,295,1351,1.1,1184,2.6
UCL514004,30,364,1538,80,2992,1.1,2851,2.9
UCL514005,38,1300,516,183,1261,1.1,983,2.5
UCL515001,39,1733,674,250,1913,1.0,1534,2.5
UCL515002,43,1300,482,193,1021,1.0,749,2.3
UCL515003,35,1884,575,300,1268,1.0,1153,2.6
UCL515004,35,1560,501,250,1160,1.1,974,2.6
UCL515005,37,1473,589,152,1428,1.2,1103,2.5
UCL515006,34,1800,1630,250,3220,1.1,3065,2.8
UCL515007,43,1350,432,220,1002,1.1,742,2.1
UCL515008,31,1733,681,130,1674,1.2,1531,2.8
UCL515009,41,1387,457,212,1132,1.1,934,2.5
UCL515010,33,1930,761,390,1949,1.0,1745,2.9
UCL515011,36,2000,670,325,1551,1.0,1359,2.6
UCL515012,37,2167,758,264,1765,1.1,1397,2.4
UCL515013,29,1026,385,35,855,1.3,1174,3.1
UCL515014,40,1409,418,200,1223,1.1,898,2.4
UCL515015,40,1950,564,220,1300,1.0,997,2.2
UCL515016,46,1387,465,200,985,1.1,743,2.2
UCL515017,28,1500,1014,200,2617,1.1,2434,2.9
UCL515018,36,1196,525,150,1132,1.1,942,2.6
UCL515019,30,2400,864,150,1835,1.3,1669,2.7
